t_enc_us,enc_deg,t1_us,y1,t2_us,y2,t3_us,y3,t4_us,y4,t5_us,y5,t6_us,y6,t7_us,y7,t8_us,y8,t9_us,y9,t10_us,y10,t11_us,y11,t12_us,y12,t13_us,y13,t14_us,y14,t15_us,y15,t16_us,y16
0,45.792,750,117.2798595,1271,122.8660225,1773,121.5523408,2301,120.3630907,2779,120.1011307,3302,118.7379585,3769,120.1378313,4264,120.0641366,4760,118.9102467,5267,122.9826808,5738,119.8011947,6254,123.8753944,6749,122.0630662,7287,121.7588765,7791,123.3039121,8283,122.4564272
8533,46.818,9270,122.9986401,9792,128.4001092,10283,127.4452089,10760,125.6516497,11267,126.0276227,11752,124.2211974,12273,125.6162599,12787,125.7770251,13323,124.6906633,13854,128.3582552,14330,125.2397701,14826,129.5669811,15297,127.5574136,15809,127.3170555,16304,128.8899879,16839,128.3589591
17089,47.916,17858,128.4747862,18324,133.9300223,18819,132.7181891,19329,131.11942,19814,131.4440756,20347,129.242459,20833,130.6510079,21352,130.4905584,21841,129.4504817,22285,133.6191143,22775,129.9185383,23293,134.2429813,23777,132.3749274,24274,131.7409199,24785,133.3961909,25279,132.8856306
25529,49.032,26286,133.0188023,26754,138.5088391,27267,137.4727185,27748,135.5086936,28244,135.795382,28739,133.6967195,29226,135.0353235,29716,135.1169576,30247,133.8943572,30753,137.92399,31259,134.521264,31747,138.9311299,32291,137.0412742,32807,136.1191476,33291,137.8991733,33791,137.2792319
34041,50.184,34828,137.4489253,35312,143.1845611,35825,141.716505,36301,140.2243862,36822,140.4215207,37363,138.4225752,37845,139.5871509,38328,139.8240203,38864,138.4757891,39372,142.6790213,39876,138.8350467,40390,143.2962311,40881,141.2386656,41391,140.3998166,41907,142.1954192,42416,141.3268209
42666,51.408,43406,141.6025052,43906,147.205444,44382,145.7261722,44899,144.0092148,45397,144.4967843,45878,142.3654801,46375,143.4536327,46867,143.4888672,47356,142.1484466,47863,146.3373899,48357,142.7071116,48848,146.9585911,49360,145.1377103,49893,144.070447,50421,146.2562817,50957,145.3395548
51207,52.632,51958,145.4811733,52446,150.7395732,52946,149.7287837,53468,148.1302652,53984,148.181959,54524,146.2164078,55017,147.2173701,55562,147.5357152,56066,146.2736448,56567,150.276423,57086,146.8636629,57564,150.9387163,58070,149.113661,58574,147.8952956,59088,149.8151187,59593,148.9479508
59843,53.91,60610,148.8846174,61118,154.5866622,61591,153.0622422,62095,151.2231529,62617,151.7100683,63110,149.6515874,63600,150.7705283,64102,151.1574818,64594,149.8659744,65059,153.7302624,65579,150.1439147,66054,154.5767665,66574,152.763471,67092,151.241173,67584,153.2762216,68077,152.2948111
68327,55.206,69074,152.2900801,69548,157.9204891,70052,156.6992616,70596,154.9438141,71086,155.0517563,71611,153.0133545,72111,153.7990249,72594,154.1369625,73060,152.9429814,73553,156.9126213,74026,153.0986,74513,157.7525648,74986,155.4725176,75493,154.1626487,76022,156.3204365,76519,155.3688599
76769,56.52,77534,155.371118,78012,160.9054246,78490,159.6665346,78967,157.953652,79457,158.1326363,79957,156.063006,80492,156.7155244,80989,157.2155004,81501,155.8011872,82059,159.8038942,82551,156.0052298,83059,160.5611322,83563,158.5588536,84042,156.7899243,84499,159.1971797,84997,158.1667292
85247,57.834,85998,158.0997066,86505,163.7199281,87017,162.2994694,87500,160.526035,88008,160.630223,88499,158.5394543,89021,159.2303071,89556,159.7853686,90046,158.5853053,90572,162.4819167,91093,158.5124463,91604,163.1361433,92123,160.8405915,92619,159.3411907,93089,161.7399262,93607,160.5405014
