t_enc_us,enc_deg,t1_us,y1,t2_us,y2,t3_us,y3,t4_us,y4,t5_us,y5,t6_us,y6,t7_us,y7,t8_us,y8,t9_us,y9,t10_us,y10,t11_us,y11,t12_us,y12,t13_us,y13,t14_us,y14,t15_us,y15,t16_us,y16
0,45.738,768,116.8940794,1263,122.326166,1766,120.7787103,2268,119.1807914,2792,118.9938651,3324,116.7831781,3778,118.1146892,4297,118.2150684,4806,116.7831339,5295,120.3609701,5778,116.8001897,6291,120.9767458,6779,119.0120449,7270,118.2795333,7767,119.4170261,8266,118.982329
8516,46.764,9291,118.639978,9795,124.1712969,10335,122.7141749,10869,121.030442,11357,120.6946415,11819,118.8195546,12316,119.8917697,12793,120.2389127,13283,118.9731011,13736,122.3114538,14259,119.1868084,14767,123.6635816,15309,121.2255231,15790,120.3407933,16292,121.5863977,16796,121.028456
17046,47.808,17784,120.9304872,18271,126.1546462,18791,124.5727648,19307,122.9695248,19825,122.7266703,20335,120.7247537,20833,121.8158312,21317,122.0490179,21844,120.3706998,22338,123.8712569,22853,120.7852882,23357,124.8530639,23903,122.7265741,24418,121.7711017,24918,122.9129743,25423,122.3725671
25673,48.852,26438,122.1172275,26966,127.440312,27452,125.932042,27906,124.4501637,28378,123.9397356,28869,121.7426942,29347,123.1007377,29861,123.2865263,30338,121.5448196,30845,125.3202209,31371,121.8725034,31861,126.2873078,32342,123.8369711,32850,123.3794096,33370,124.5456258,33875,123.6560817
34125,49.896,34902,123.7290956,35365,129.295362,35863,127.5627102,36344,125.4189147,36869,125.4886413,37387,123.6190565,37900,124.480883,38414,124.8023005,38928,123.3297923,39448,126.745331,39999,123.2781592,40508,127.7620413,40986,125.5999865,41493,124.4733549,41991,125.5797924,42485,125.0312369
42735,50.994,43481,124.8043638,43988,130.4752748,44494,129.0583803,44979,127.2286451,45491,126.8465911,46023,124.7125544,46529,125.6677118,47001,125.9291927,47512,124.3372997,48044,128.0681093,48547,124.5429095,49058,129.0431931,49534,126.6237881,50038,125.4905162,50519,126.8589529,51051,126.3505557
51301,52.056,52032,126.1334151,52555,131.9270514,53035,130.0056601,53552,128.1083682,54083,128.2541506,54599,126.0293587,55089,127.074733,55570,127.1663034,56099,125.8601841,56586,129.4367488,57106,126.0130419,57584,130.0395905,58088,128.05131,58577,126.7936177,59047,128.3146521,59545,127.661763
59795,53.154,60579,127.3717576,61085,132.8358396,61588,131.2470936,62089,129.5610417,62620,129.2427251,63092,127.5232482,63565,128.4348823,64065,128.5337227,64570,127.201887,65077,130.7571686,65553,127.2577464,66060,131.5185941,66569,129.3141107,67060,128.4618733,67541,129.9688125,68034,129.160184
68284,54.252,69017,129.0628448,69503,134.6922006,69988,133.1710475,70481,131.3349345,70992,130.6612955,71526,129.1217323,72045,129.8331551,72551,130.1617146,73045,128.7084187,73513,132.4180685,73997,128.7503855,74506,133.1732953,75015,130.7166317,75529,129.4597949,76016,131.0078364,76498,130.1681127
76748,55.35,77496,129.8523831,77955,135.209864,78442,133.9987179,78956,132.3580939,79458,132.1085263,79971,129.9184006,80465,131.1921321,80960,131.3952814,81430,129.7927279,81970,133.4215712,82434,129.7439385,82953,134.4143831,83434,131.8939936,83928,130.7313357,84436,132.2468683,84944,131.3738457
