t_enc_us,enc_deg,t1_us,y1,t2_us,y2,t3_us,y3,t4_us,y4,t5_us,y5,t6_us,y6,t7_us,y7,t8_us,y8,t9_us,y9,t10_us,y10,t11_us,y11,t12_us,y12,t13_us,y13,t14_us,y14,t15_us,y15,t16_us,y16
0,45.792,750,117.2798455,1271,122.8660129,1773,121.5522097,2301,120.3627298,2779,120.1002491,3302,118.7366928,3769,120.1360797,4264,120.0626563,4760,118.9080167,5267,122.9799698,5738,119.7970036,6254,123.8717822,6749,122.0585289,7287,121.752549,7791,123.2964095,8283,122.4480458
8533,46.818,9270,122.9885157,9792,128.3900381,10283,127.4334796,10760,125.6384698,11267,126.0117441,11752,124.204045,12273,125.5974216,12787,125.7588885,13323,124.670002,13854,128.3359815,14330,125.2139246,14826,129.5425042,15297,127.5307325,15809,127.2868653,16304,128.8569398,16839,128.3242165
17089,47.916,17858,128.436481,18324,133.8919258,18819,132.67701,19329,131.0755978,19814,131.3954646,20347,129.1916154,20833,130.5977407,21352,130.438198,21841,129.3941913,22285,133.5604606,22775,129.8546813,23293,134.1808949,23777,132.3093355,24274,131.6707307,24785,133.3210283,25279,132.8085986
25529,49.032,26286,132.9366443,26754,138.4267706,27267,137.3861769,27748,135.4187969,28244,135.6984937,28739,133.5972419,29226,134.9328132,29716,135.015565,30247,133.7873041,30753,137.8129945,31259,134.4038214,31747,138.8159489,32291,136.920958,32807,135.9934909,33291,137.7663635,33791,137.1444401
34041,50.184,34828,137.3072176,35312,143.0425931,35825,141.5688516,36301,140.0727422,36822,140.2604828,37363,138.2581844,37845,139.4193651,38328,139.657287,38864,138.3018737,39372,142.4997706,39876,138.6486098,40390,143.1119725,40881,141.0484899,41391,140.2042167,41907,141.989732,42416,141.1192589
42666,51.39,43406,141.3869107,43906,146.9890668,44382,145.503358,44899,143.7815198,45397,144.2576738,45878,142.1233278,46375,143.2077373,46867,143.2436455,47356,141.8951256,47863,146.0772815,48357,142.439582,48848,146.6934002,49360,144.8652976,49893,143.7926953,50421,145.9653921,50957,145.0469188
51207,52.632,51958,145.1789926,52446,150.4362483,52946,149.4178133,53468,147.8139483,53984,147.8518075,54524,145.8825137,55017,146.8797395,55562,147.1976901,56066,145.9260599,56567,149.9205449,57086,146.500114,57564,150.5774475,58070,148.7441476,58574,147.5215384,59088,149.425138,59593,148.5571986
59843,53.91,60610,148.4827668,61118,154.1828432,61591,152.650222,62095,150.8057501,62617,151.2764959,63110,149.2148924,63600,150.3302692,64102,150.7166824,64594,149.4145471,65059,153.269398,65579,149.6757219,66054,154.1105533,66574,152.287834,67092,150.7622573,67584,152.7779783,68077,151.7968174
68327,55.206,69074,151.7799568,69548,157.4081775,70052,156.1775667,70596,154.4160946,71086,154.5060875,71611,152.4643397,72111,153.2465958,72594,153.5834913,73060,152.3781129,73553,156.3362878,74026,152.5162712,74513,157.1715523,74986,154.881792,75493,153.570293,76022,155.7046966,76519,154.7543612
76769,56.502,77534,154.7429982,78012,160.2743639,78490,159.0257581,78967,157.3077917,79457,157.4666753,79957,155.3943637,80492,156.0433674,80989,156.5412296,81501,155.1137743,82059,159.1023168,82551,155.2983625,83059,159.8546463,83563,157.8412934,84042,156.0730349,84499,158.4542106,84997,157.4262048
85247,57.816,85998,157.3445964,86505,162.9606209,87017,161.529296,87500,159.7508618,88008,159.8324527,88499,157.7395846,89021,158.4276533,89556,158.9789943,90046,157.7650763,90572,161.6461946,91093,157.6722043,91604,162.2954787,92123,159.987729,92619,158.4909149,93089,160.8594551,93607,159.6635319
93857,59.202,94583,159.4994914,95079,165.1387715,95581,163.8133654,96091,161.7231552,96559,162.0085361,97067,159.9397817,97581,160.7740963,98054,161.2221504,98549,160.1455394,99074,164.1107071,99593,160.2805087,100101,164.8423224,100612,162.7516617,101086,161.0613296,101577,163.2709661,102043,162.0906459
102293,60.57,103027,162.3508383,103535,168.2749225,104014,166.5769368,104527,164.7093743,105038,164.8485664,105504,162.7425904,105970,163.3592026,106473,163.8338039,106995,162.5817554,107514,166.1927887,107999,162.7538697,108473,167.0839683,108954,165.08093,109498,163.3095987,110007,165.7062988,110520,164.6654047
110770,61.974,111558,164.5722332,112023,170.3545848,112527,168.7419825,113038,167.0310401,113559,167.1829266,114046,164.8985981,114540,165.7941305,115061,166.2728822,115545,165.0978122,116012,168.8848221,116490,164.8290258,116983,169.740314,117445,167.4946832,117946,165.7002426,118446,167.9864466,118957,166.7987929
119207,63.396,119959,167.1086465,120459,172.8492028,121001,171.4243234,121521,169.304903,122007,169.2031372,122498,167.0342416,123025,167.8018898,123536,168.2945579,124061,167.2545763,124585,171.3680731,125122,167.0963352,125604,171.9293057,126103,169.6564833,126563,167.5203522,127086,169.8270906,127616,168.6660586
